subscriber,subscription_length,launch,optin,source,state,emails,open_rate,click_rate,rec_open_rate,rec_click_rate,course_open_rate,course_click_rate,past_course_open_rate,past_course_click_rate,purchase_probability,purchase
398766595,143,Launch_6,Influence Map,MCS Page,active,29,0.31,0.17,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
399075271,142,Launch_6,MCDT,Unknown,active,28,0.75,0.07,0.33,0.0,0.43,0.0,0.4693398692810468,0.1440803621958105,0.002306876328973986,False
399180548,142,Launch_6,Influence Map,MCS Page,active,21,0.62,0.05,0.67,0.0,0.14,0.0,0.4693398692810468,0.1440803621958105,0.0012202381972413708,False
399612454,142,Launch_6,Influence Map,MCS Page,active,21,0.29,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
399806792,142,Launch_6,MCDT,Unknown,active,27,0.44,0.07,0.67,0.0,0.43,0.0,0.4693398692810468,0.1440803621958105,0.002306876328973986,False
399876365,142,Launch_6,MCDT,Unknown,active,27,0.22,0.04,0.33,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
401053489,141,Launch_6,Influence Map,Medium,active,21,0.43,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
401233427,141,Launch_6,MCDT,Unknown,active,27,0.74,0.07,0.67,0.0,0.43,0.0,0.4693398692810468,0.1440803621958105,0.002306876328973986,False
402336431,140,Launch_6,Influence Map,Medium,active,21,0.38,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
402620598,139,Launch_6,MCDT,Unknown,active,28,0.21,0.04,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
404262158,138,Launch_6,Influence Map,Medium,active,21,0.52,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
404932227,137,Launch_6,MCDT,Unknown,active,27,0.59,0.04,0.33,0.0,0.86,0.0,0.4693398692810468,0.1440803621958105,0.005919036286063793,False
405155373,136,Launch_6,Influence Map,Skillshare,active,21,0.24,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
405541429,136,Launch_6,MCDT,Unknown,active,27,0.15,0.04,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
406190157,135,Launch_6,Influence Map,MCS Page,active,21,0.67,0.05,0.67,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
406461424,135,Launch_6,MCDT,Unknown,active,26,0.85,0.04,0.67,0.0,0.57,0.14,0.4693398692810468,0.1440803621958105,0.00734146438530447,False
406605970,134,Launch_6,Influence Map,MCS Page,active,21,1.0,0.05,1.0,0.0,0.43,0.14,0.4693398692810468,0.1440803621958105,0.005406038987310076,False
